year,county,office,district,candidate,party,votes
2022,CHICKASAW,SECRETARY OF STATE,,PAUL D PATE,REP,3435.000000
2022,CHICKASAW,SECRETARY OF STATE,,WRITE IN,,1.000000
2022,CHICKASAW,U S SENATE,,CHUCK GRASSLEY,REP,3276.000000
2022,CHICKASAW,U S SENATE,,MICHAEL FRANKEN,DEM,1665.000000
2022,CHICKASAW,U S SENATE,,WRITE IN,,4.000000
2022,CLARKE,ATTORNEY GENERAL,,BRENNA BIRD,REP,1995.000000
2022,CLARKE,ATTORNEY GENERAL,,TOM MILLER,DEM,1331.000000
2022,CLARKE,ATTORNEY GENERAL,,WRITE IN,,1.000000
2022,CLARKE,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,824.000000
2022,CLARKE,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,2494.000000
2022,CLARKE,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,71.000000
2022,CLARKE,GOVERNOR,,WRITE IN,,3.000000
2022,CLARKE,SECRETARY OF STATE,,JOEL MILLER,DEM,871.000000
2022,CLARKE,SECRETARY OF STATE,,PAUL D PATE,REP,2449.000000
2022,CLARKE,SECRETARY OF STATE,,WRITE IN,,0.000000
2022,CLARKE,U S SENATE,,CHUCK GRASSLEY,REP,2332.000000
2022,CLARKE,U S SENATE,,MICHAEL FRANKEN,DEM,1005.000000
2022,CLARKE,U S SENATE,,WRITE IN,,6.000000
2022,CLAY,ATTORNEY GENERAL,,BRENNA BIRD,REP,3958.000000
2022,CLAY,ATTORNEY GENERAL,,TOM MILLER,DEM,2362.000000
2022,CLAY,ATTORNEY GENERAL,,WRITE IN,,5.000000
2022,CLAY,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1536.000000
2022,CLAY,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,4805.000000
2022,CLAY,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,132.000000
2022,CLAY,GOVERNOR,,WRITE IN,,1.000000
2022,CLAY,SECRETARY OF STATE,,JOEL MILLER,DEM,1672.000000
2022,CLAY,SECRETARY OF STATE,,PAUL D PATE,REP,4638.000000
2022,CLAY,SECRETARY OF STATE,,WRITE IN,,1.000000
2022,CLAY,U S SENATE,,CHUCK GRASSLEY,REP,4578.000000
2022,CLAY,U S SENATE,,MICHAEL FRANKEN,DEM,1795.000000
2022,CLAY,U S SENATE,,WRITE IN,,10.000000
2022,CLAYTON,ATTORNEY GENERAL,,BRENNA BIRD,REP,4290.000000
2022,CLAYTON,ATTORNEY GENERAL,,TOM MILLER,DEM,2979.000000
2022,CLAYTON,ATTORNEY GENERAL,,WRITE IN,,3.000000
2022,CLAYTON,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2105.000000
2022,CLAYTON,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,5110.000000
2022,CLAYTON,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,155.000000
2022,CLAYTON,GOVERNOR,,WRITE IN,,2.000000
2022,CLAYTON,SECRETARY OF STATE,,JOEL MILLER,DEM,2040.000000
2022,CLAYTON,SECRETARY OF STATE,,PAUL D PATE,REP,5239.000000
2022,CLAYTON,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,CLAYTON,U S SENATE,,CHUCK GRASSLEY,REP,4839.000000
2022,CLAYTON,U S SENATE,,MICHAEL FRANKEN,DEM,2512.000000
2022,CLAYTON,U S SENATE,,WRITE IN,,9.000000
2022,CLINTON,ATTORNEY GENERAL,,BRENNA BIRD,REP,9184.000000
2022,CLINTON,ATTORNEY GENERAL,,TOM MILLER,DEM,7570.000000
2022,CLINTON,ATTORNEY GENERAL,,WRITE IN,,7.000000
2022,CLINTON,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,6406.000000
2022,CLINTON,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,10173.000000
2022,CLINTON,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,308.000000
2022,CLINTON,GOVERNOR,,WRITE IN,,7.000000
2022,CLINTON,SECRETARY OF STATE,,JOEL MILLER,DEM,6728.000000
2022,CLINTON,SECRETARY OF STATE,,PAUL D PATE,REP,9986.000000
2022,CLINTON,SECRETARY OF STATE,,WRITE IN,,10.000000
2022,CLINTON,U S SENATE,,CHUCK GRASSLEY,REP,9595.000000
2022,CLINTON,U S SENATE,,MICHAEL FRANKEN,DEM,7213.000000
2022,CLINTON,U S SENATE,,WRITE IN,,15.000000
2022,CRAWFORD,ATTORNEY GENERAL,,BRENNA BIRD,REP,2980.000000
