year,vtd_id,office,district,candidate,party,votes
2000,19013013006,PRESIDENT,,,GREEN,1.130405
2000,19013013006,PRESIDENT,,,REP,45.592955
2000,19013013006,PRESIDENT,,,SC,0.753602
2000,19013013007,PRESIDENT,,,DEM,31.887996
2000,19013013007,PRESIDENT,,,GREEN,1.074876
2000,19013013007,PRESIDENT,,,REP,43.353343
2000,19013013007,PRESIDENT,,,SC,0.716584
2000,19013013008,PRESIDENT,,,DEM,23.576762
2000,19013013008,PRESIDENT,,,GREEN,0.794722
2000,19013013008,PRESIDENT,,,REP,32.053774
2000,19013013008,PRESIDENT,,,SC,0.529815
2000,19013013009,PRESIDENT,,,DEM,95.288007
2000,19013013009,PRESIDENT,,,GREEN,3.084864
2000,19013013009,PRESIDENT,,,REP,53.813731
2000,19013013009,PRESIDENT,,,SC,1.713813
2000,19013013010,PRESIDENT,,,DEM,0.314965
2000,19013013010,PRESIDENT,,,GREEN,0.015677
2000,19013013010,PRESIDENT,,,REP,0.220881
2000,19013013010,PRESIDENT,,,SC,0.004116
2000,19013013011,PRESIDENT,,,DEM,0.000034
2000,19013013011,PRESIDENT,,,GREEN,0.000001
2000,19013013011,PRESIDENT,,,REP,0.000020
2000,19013013011,PRESIDENT,,,SC,0.000001
2000,19013013012,PRESIDENT,,,DEM,0.000000
2000,19013013012,PRESIDENT,,,GREEN,0.000000
2000,19013013012,PRESIDENT,,,REP,0.000000
2000,19013013012,PRESIDENT,,,SC,0.000000
2000,19013013013,PRESIDENT,,,DEM,0.000000
2000,19013013013,PRESIDENT,,,GREEN,0.000000
2000,19013013013,PRESIDENT,,,REP,0.000000
2000,19013013013,PRESIDENT,,,SC,0.000000
2000,19013013014,PRESIDENT,,,DEM,0.000020
2000,19013013014,PRESIDENT,,,GREEN,0.000001
2000,19013013014,PRESIDENT,,,REP,0.000024
2000,19013013014,PRESIDENT,,,SC,0.000000
2000,19013013015,PRESIDENT,,,DEM,330.173329
2000,19013013015,PRESIDENT,,,GREEN,17.205062
2000,19013013015,PRESIDENT,,,REP,237.593711
2000,19013013015,PRESIDENT,,,SC,4.096443
2000,19013013016,PRESIDENT,,,DEM,71.430420
2000,19013013016,PRESIDENT,,,GREEN,3.722164
2000,19013013016,PRESIDENT,,,REP,51.401990
2000,19013013016,PRESIDENT,,,SC,0.886244
2000,19013013017,PRESIDENT,,,DEM,92.982434
2000,19013013017,PRESIDENT,,,GREEN,1.999631
2000,19013013017,PRESIDENT,,,REP,143.972561
2000,19013013017,PRESIDENT,,,SC,2.999428
2000,19013013018,PRESIDENT,,,DEM,0.017310
2000,19013013018,PRESIDENT,,,GREEN,0.000372
2000,19013013018,PRESIDENT,,,REP,0.026802
2000,19013013018,PRESIDENT,,,SC,0.000558
2000,19013013019,PRESIDENT,,,DEM,0.000012
2000,19013013019,PRESIDENT,,,GREEN,0.000001
2000,19013013019,PRESIDENT,,,REP,0.000009
2000,19013013019,PRESIDENT,,,SC,0.000000
2000,19013013020,PRESIDENT,,,DEM,0.000028
2000,19013013020,PRESIDENT,,,GREEN,0.000001
2000,19013013020,PRESIDENT,,,REP,0.000020
2000,19013013020,PRESIDENT,,,SC,0.000000
2000,19013013021,PRESIDENT,,,DEM,0.016778
2000,19013013021,PRESIDENT,,,GREEN,0.001371
2000,19013013021,PRESIDENT,,,REP,0.026801
2000,19013013021,PRESIDENT,,,SC,0.000422
2000,19013013022,PRESIDENT,,,DEM,0.009920
2000,19013013022,PRESIDENT,,,GREEN,0.000390
2000,19013013022,PRESIDENT,,,REP,0.010434
2000,19013013022,PRESIDENT,,,SC,0.000145
2000,19013013023,PRESIDENT,,,DEM,0.000003
2000,19013013023,PRESIDENT,,,GREEN,0.000000
2000,19013013023,PRESIDENT,,,REP,0.000003
2000,19013013023,PRESIDENT,,,SC,0.000000
2000,19013013024,PRESIDENT,,,DEM,0.000000
2000,19013013024,PRESIDENT,,,GREEN,0.000000
2000,19013013024,PRESIDENT,,,REP,0.000000
2000,19013013024,PRESIDENT,,,SC,0.000000
2000,19013013025,PRESIDENT,,,DEM,0.000001
2000,19013013025,PRESIDENT,,,GREEN,0.000000
2000,19013013025,PRESIDENT,,,REP,0.000001
2000,19013013025,PRESIDENT,,,SC,0.000000
2000,19013013026,PRESIDENT,,,DEM,0.000170
2000,19013013026,PRESIDENT,,,GREEN,0.000014
2000,19013013026,PRESIDENT,,,REP,0.000272
2000,19013013026,PRESIDENT,,,SC,0.000004
2000,19013013027,PRESIDENT,,,DEM,0.000000
2000,19013013027,PRESIDENT,,,GREEN,0.000000
2000,19013013027,PRESIDENT,,,REP,0.000000
2000,19013013027,PRESIDENT,,,SC,0.000000
2000,19013013028,PRESIDENT,,,DEM,0.134665
2000,19013013028,PRESIDENT,,,GREEN,0.010996
2000,19013013028,PRESIDENT,,,REP,0.214940
2000,19013013028,PRESIDENT,,,SC,0.003384
2000,19013013029,PRESIDENT,,,DEM,0.000062
2000,19013013029,PRESIDENT,,,GREEN,0.000005
2000,19013013029,PRESIDENT,,,REP,0.000098
2000,19013013029,PRESIDENT,,,SC,0.000002
2000,19013013030,PRESIDENT,,,DEM,0.000000
2000,19013013030,PRESIDENT,,,GREEN,0.000000
2000,19013013030,PRESIDENT,,,REP,0.000000
2000,19013013030,PRESIDENT,,,SC,0.000000
2000,19013013034,PRESIDENT,,,DEM,0.000000
2000,19013013034,PRESIDENT,,,GREEN,0.000000
2000,19013013034,PRESIDENT,,,REP,0.000000
2000,19013013034,PRESIDENT,,,SC,0.000000
2000,19013013037,PRESIDENT,,,DEM,172.005129
2000,19013013037,PRESIDENT,,,GREEN,5.568511
2000,19013013037,PRESIDENT,,,REP,97.139588
2000,19013013037,PRESIDENT,,,SC,3.093617
