year,plan2_district,office,district,candidate,party,votes
2016,23,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,24.675480
2016,23,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.003367
2016,23,PRESIDENT,,WRITE IN,OTH,155.640291
2016,23,U S SENATE,,CHARLES ALDRICH,LIB,509.266053
2016,23,U S SENATE,,CHARLES E GRASSLEY,REP,11438.190073
2016,23,U S SENATE,,JIM HENNAGER,OTH,188.605988
2016,23,U S SENATE,,MICHAEL LUICK THRAMS,OTH,38.165924
2016,23,U S SENATE,,PATTY JUDGE,DEM,4136.000563
2016,23,U S SENATE,,WRITE IN,OTH,13.003327
2016,24,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,11.499427
2016,24,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,63.499428
2016,24,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8043.349366
2016,24,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,65.499427
2016,24,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,377.493712
2016,24,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,24,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3732.946156
2016,24,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,63.000000
2016,24,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,16.000000
2016,24,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,2.000000
2016,24,PRESIDENT,,WRITE IN,OTH,104.998854
2016,24,U S SENATE,,CHARLES ALDRICH,LIB,301.492558
2016,24,U S SENATE,,CHARLES E GRASSLEY,REP,8558.345931
2016,24,U S SENATE,,JIM HENNAGER,OTH,142.498280
2016,24,U S SENATE,,MICHAEL LUICK THRAMS,OTH,33.000000
2016,24,U S SENATE,,PATTY JUDGE,DEM,3270.953035
2016,24,U S SENATE,,WRITE IN,OTH,13.498283
2016,25,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,5.003107
2016,25,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,14.001731
2016,25,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,2341.420751
2016,25,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,16.002706
2016,25,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,75.021885
2016,25,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,25,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,926.148390
2016,25,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,28.003770
2016,25,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,5.000578
2016,25,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000578
2016,25,PRESIDENT,,WRITE IN,OTH,24.005057
2016,25,U S SENATE,,CHARLES ALDRICH,LIB,65.016773
2016,25,U S SENATE,,CHARLES E GRASSLEY,REP,2279.392955
2016,25,U S SENATE,,JIM HENNAGER,OTH,69.013448
2016,25,U S SENATE,,MICHAEL LUICK THRAMS,OTH,3.000000
2016,25,U S SENATE,,PATTY JUDGE,DEM,942.168728
2016,25,U S SENATE,,WRITE IN,OTH,3.000976
2016,26,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,19.497466
2016,26,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,38.498954
2016,26,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,7034.240101
2016,26,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,37.497868
2016,26,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,268.484678
2016,26,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000037
2016,26,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,2695.910162
2016,26,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,54.996268
2016,26,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,12.999423
2016,26,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,2.999459
2016,26,PRESIDENT,,WRITE IN,OTH,59.996353
2016,26,U S SENATE,,CHARLES ALDRICH,LIB,212.491050
2016,26,U S SENATE,,CHARLES E GRASSLEY,REP,6928.271073
2016,26,U S SENATE,,JIM HENNAGER,OTH,109.488384
2016,26,U S SENATE,,MICHAEL LUICK THRAMS,OTH,25.000075
2016,26,U S SENATE,,PATTY JUDGE,DEM,2809.883212
2016,26,U S SENATE,,WRITE IN,OTH,6.500741
2016,27,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,7.934334
2016,27,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,34.738232
2016,27,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5689.049838
2016,27,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,200.495043
2016,27,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,548.243740
2016,27,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.911761
2016,27,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,4870.622971
2016,27,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,44.315753
2016,27,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,5.951672
2016,27,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,4.966689
2016,27,PRESIDENT,,WRITE IN,OTH,178.665089
2016,27,U S SENATE,,CHARLES ALDRICH,LIB,291.073329
2016,27,U S SENATE,,CHARLES E GRASSLEY,REP,7462.925150
2016,27,U S SENATE,,JIM HENNAGER,OTH,78.474137
2016,27,U S SENATE,,MICHAEL LUICK THRAMS,OTH,26.680846
2016,27,U S SENATE,,PATTY JUDGE,DEM,3594.214935
2016,27,U S SENATE,,WRITE IN,OTH,12.989906
2016,28,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,4.055434
2016,28,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,37.914871
2016,28,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5779.747208
2016,28,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,160.916085
2016,28,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,565.491573
2016,28,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.087631
2016,28,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,4808.150592
2016,28,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,68.027000
2016,28,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,8.040538
2016,28,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.021517
2016,28,PRESIDENT,,WRITE IN,OTH,169.254730
2016,28,U S SENATE,,CHARLES ALDRICH,LIB,320.766485
2016,28,U S SENATE,,CHARLES E GRASSLEY,REP,7378.205018
2016,28,U S SENATE,,JIM HENNAGER,OTH,96.584201
2016,28,U S SENATE,,MICHAEL LUICK THRAMS,OTH,34.120605
2016,28,U S SENATE,,PATTY JUDGE,DEM,3580.402213
2016,28,U S SENATE,,WRITE IN,OTH,7.990664
2016,29,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,11.919403
