year,plan2_district,office,district,candidate,party,votes
2016,23,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1351.909146
2016,23,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.783634
2016,23,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10793.587840
2016,23,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,122.867857
2016,23,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.227563
2016,23,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.780032
2016,23,PRESIDENT,,WRITE IN,OTH,344.434902
2016,23,U S SENATE,,CHARLES ALDRICH,LIB,806.210200
2016,23,U S SENATE,,CHARLES E GRASSLEY,REP,19568.987988
2016,23,U S SENATE,,JIM HENNAGER,OTH,242.949174
2016,23,U S SENATE,,MICHAEL LUICK THRAMS,OTH,89.525464
2016,23,U S SENATE,,PATTY JUDGE,DEM,8529.207000
2016,23,U S SENATE,,WRITE IN,OTH,33.332392
2016,24,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,37.991510
2016,24,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,105.801807
2016,24,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,14502.035569
2016,24,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,277.788555
2016,24,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1222.356246
2016,24,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.826087
2016,24,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10454.377369
2016,24,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,184.949869
2016,24,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,37.995351
2016,24,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.645475
2016,24,PRESIDENT,,WRITE IN,OTH,312.551583
2016,24,U S SENATE,,CHARLES ALDRICH,LIB,925.491646
2016,24,U S SENATE,,CHARLES E GRASSLEY,REP,16740.515116
2016,24,U S SENATE,,JIM HENNAGER,OTH,303.830090
2016,24,U S SENATE,,MICHAEL LUICK THRAMS,OTH,86.938477
2016,24,U S SENATE,,PATTY JUDGE,DEM,8738.929066
2016,24,U S SENATE,,WRITE IN,OTH,22.464909
2016,25,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,4.009615
2016,25,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,35.117717
2016,25,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,3276.796140
2016,25,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,266.575403
2016,25,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,600.214470
2016,25,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,4.141825
2016,25,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,6155.868683
2016,25,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,123.992895
2016,25,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,12.965915
2016,25,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.348219
2016,25,PRESIDENT,,WRITE IN,OTH,146.562994
2016,25,U S SENATE,,CHARLES ALDRICH,LIB,331.425193
2016,25,U S SENATE,,CHARLES E GRASSLEY,REP,4708.079364
2016,25,U S SENATE,,JIM HENNAGER,OTH,93.895152
2016,25,U S SENATE,,MICHAEL LUICK THRAMS,OTH,42.417564
2016,25,U S SENATE,,PATTY JUDGE,DEM,5198.603093
2016,25,U S SENATE,,WRITE IN,OTH,9.535154
2016,26,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,33.997043
2016,26,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,95.129940
2016,26,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,13611.327009
2016,26,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,287.776180
2016,26,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1162.767644
2016,26,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,9.032103
2016,26,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10501.971829
2016,26,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,176.064663
2016,26,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,41.037789
2016,26,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.006295
2016,26,PRESIDENT,,WRITE IN,OTH,324.943345
2016,26,U S SENATE,,CHARLES ALDRICH,LIB,782.281193
2016,26,U S SENATE,,CHARLES E GRASSLEY,REP,15712.535641
2016,26,U S SENATE,,JIM HENNAGER,OTH,280.332755
2016,26,U S SENATE,,MICHAEL LUICK THRAMS,OTH,71.667348
2016,26,U S SENATE,,PATTY JUDGE,DEM,9038.011501
2016,26,U S SENATE,,WRITE IN,OTH,15.999968
2016,27,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,68.587106
2016,27,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,131.123103
2016,27,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,19083.656788
2016,27,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,208.913815
2016,27,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1035.250080
2016,27,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,14.020797
2016,27,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,11957.751891
2016,27,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,202.107029
2016,27,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,56.860898
2016,27,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,12.256228
2016,27,PRESIDENT,,WRITE IN,OTH,369.125220
2016,27,U S SENATE,,CHARLES ALDRICH,LIB,783.946958
2016,27,U S SENATE,,CHARLES E GRASSLEY,REP,21625.846038
2016,27,U S SENATE,,JIM HENNAGER,OTH,424.984251
2016,27,U S SENATE,,MICHAEL LUICK THRAMS,OTH,67.805306
2016,27,U S SENATE,,PATTY JUDGE,DEM,9992.968907
2016,27,U S SENATE,,WRITE IN,OTH,27.504964
