year,vtd_id,office,district,candidate,party,votes
2004,19013013020,US SENATE,,,OTH,18.000000
2004,19013013020,US SENATE,,,REP,1016.000000
2004,19013013020,US SENATE,,,SC,1.000000
2004,19013013021,PRESIDENT,,,DEM,393.000000
2004,19013013021,PRESIDENT,,,OTH,7.000000
2004,19013013021,PRESIDENT,,,REP,340.000000
2004,19013013021,PRESIDENT,,,SC,0.000000
2004,19013013021,US SENATE,,,DEM,194.000000
2004,19013013021,US SENATE,,,OTH,13.000000
2004,19013013021,US SENATE,,,REP,519.000000
2004,19013013021,US SENATE,,,SC,1.000000
2004,19013013024,PRESIDENT,,,DEM,265.000000
2004,19013013024,PRESIDENT,,,OTH,4.000000
2004,19013013024,PRESIDENT,,,REP,211.000000
2004,19013013024,PRESIDENT,,,SC,0.000000
2004,19013013024,US SENATE,,,DEM,135.000000
2004,19013013024,US SENATE,,,OTH,8.000000
2004,19013013024,US SENATE,,,REP,325.000000
2004,19013013024,US SENATE,,,SC,0.000000
2004,19013013025,PRESIDENT,,,DEM,259.000000
2004,19013013025,PRESIDENT,,,OTH,2.000000
2004,19013013025,PRESIDENT,,,REP,121.000000
2004,19013013025,PRESIDENT,,,SC,0.000000
2004,19013013025,US SENATE,,,DEM,127.000000
2004,19013013025,US SENATE,,,OTH,13.000000
2004,19013013025,US SENATE,,,REP,238.000000
2004,19013013025,US SENATE,,,SC,0.000000
2004,19013013026,PRESIDENT,,,DEM,262.000000
2004,19013013026,PRESIDENT,,,OTH,3.000000
2004,19013013026,PRESIDENT,,,REP,155.000000
2004,19013013026,PRESIDENT,,,SC,0.000000
2004,19013013026,US SENATE,,,DEM,141.000000
2004,19013013026,US SENATE,,,OTH,7.000000
2004,19013013026,US SENATE,,,REP,260.000000
2004,19013013026,US SENATE,,,SC,1.000000
2004,19013013027,PRESIDENT,,,DEM,242.000000
2004,19013013027,PRESIDENT,,,OTH,3.000000
2004,19013013027,PRESIDENT,,,REP,127.000000
2004,19013013027,PRESIDENT,,,SC,1.000000
2004,19013013027,US SENATE,,,DEM,138.000000
2004,19013013027,US SENATE,,,OTH,5.000000
2004,19013013027,US SENATE,,,REP,224.000000
2004,19013013027,US SENATE,,,SC,0.000000
2004,19013013028,PRESIDENT,,,DEM,262.000000
2004,19013013028,PRESIDENT,,,OTH,0.000000
2004,19013013028,PRESIDENT,,,REP,185.000000
2004,19013013028,PRESIDENT,,,SC,0.000000
2004,19013013028,US SENATE,,,DEM,130.000000
2004,19013013028,US SENATE,,,OTH,3.000000
2004,19013013028,US SENATE,,,REP,305.000000
2004,19013013028,US SENATE,,,SC,1.000000
2004,19013013035,PRESIDENT,,,DEM,71.000000
2004,19013013035,PRESIDENT,,,OTH,4.000000
2004,19013013035,PRESIDENT,,,REP,121.000000
2004,19013013035,PRESIDENT,,,SC,0.000000
2004,19013013035,US SENATE,,,DEM,26.000000
2004,19013013035,US SENATE,,,OTH,1.000000
2004,19013013035,US SENATE,,,REP,166.000000
2004,19013013035,US SENATE,,,SC,0.000000
2004,19013013041,PRESIDENT,,,DEM,158.000000
2004,19013013041,PRESIDENT,,,OTH,2.000000
2004,19013013041,PRESIDENT,,,REP,293.000000
2004,19013013041,PRESIDENT,,,SC,0.000000
2004,19013013041,US SENATE,,,DEM,71.000000
2004,19013013041,US SENATE,,,OTH,3.000000
2004,19013013041,US SENATE,,,REP,380.000000
2004,19013013041,US SENATE,,,SC,0.000000
2004,19013013043,PRESIDENT,,,DEM,452.000000
2004,19013013043,PRESIDENT,,,OTH,4.000000
2004,19013013043,PRESIDENT,,,REP,534.000000
2004,19013013043,PRESIDENT,,,SC,0.000000
2004,19013013043,US SENATE,,,DEM,214.000000
2004,19013013043,US SENATE,,,OTH,12.000000
2004,19013013043,US SENATE,,,REP,757.000000
2004,19013013043,US SENATE,,,SC,0.000000
2004,19013013044,PRESIDENT,,,DEM,501.000000
2004,19013013044,PRESIDENT,,,OTH,4.000000
2004,19013013044,PRESIDENT,,,REP,466.000000
2004,19013013044,PRESIDENT,,,SC,0.000000
2004,19013013044,US SENATE,,,DEM,242.000000
2004,19013013044,US SENATE,,,OTH,16.000000
2004,19013013044,US SENATE,,,REP,695.000000
2004,19013013044,US SENATE,,,SC,0.000000
2004,19013013045,PRESIDENT,,,DEM,439.000000
2004,19013013045,PRESIDENT,,,OTH,9.000000
2004,19013013045,PRESIDENT,,,REP,332.000000
2004,19013013045,PRESIDENT,,,SC,0.000000
2004,19013013045,US SENATE,,,DEM,216.000000
2004,19013013045,US SENATE,,,OTH,26.000000
2004,19013013045,US SENATE,,,REP,529.000000
2004,19013013045,US SENATE,,,SC,1.000000
2004,19013013046,PRESIDENT,,,DEM,427.000000
2004,19013013046,PRESIDENT,,,OTH,4.000000
2004,19013013046,PRESIDENT,,,REP,412.000000
2004,19013013046,PRESIDENT,,,SC,2.000000
2004,19013013046,US SENATE,,,DEM,170.000000
2004,19013013046,US SENATE,,,OTH,13.000000
2004,19013013046,US SENATE,,,REP,647.000000
2004,19013013046,US SENATE,,,SC,0.000000
2004,19013013047,PRESIDENT,,,DEM,339.000000
2004,19013013047,PRESIDENT,,,OTH,4.000000
2004,19013013047,PRESIDENT,,,REP,410.000000
2004,19013013047,PRESIDENT,,,SC,0.000000
2004,19013013047,US SENATE,,,DEM,162.000000
2004,19013013047,US SENATE,,,OTH,10.000000
2004,19013013047,US SENATE,,,REP,570.000000
2004,19013013047,US SENATE,,,SC,0.000000
2004,19013013048,PRESIDENT,,,DEM,361.000000
2004,19013013048,PRESIDENT,,,OTH,4.000000
2004,19013013048,PRESIDENT,,,REP,694.000000
2004,19013013048,PRESIDENT,,,SC,0.000000
2004,19013013048,US SENATE,,,DEM,137.000000
2004,19013013048,US SENATE,,,OTH,15.000000
2004,19013013048,US SENATE,,,REP,896.000000
2004,19013013048,US SENATE,,,SC,0.000000
2004,19013013049,PRESIDENT,,,DEM,273.000000
2004,19013013049,PRESIDENT,,,OTH,4.000000
2004,19013013049,PRESIDENT,,,REP,395.000000
2004,19013013049,PRESIDENT,,,SC,1.000000
2004,19013013049,US SENATE,,,DEM,127.000000
2004,19013013049,US SENATE,,,OTH,10.000000
2004,19013013049,US SENATE,,,REP,522.000000
2004,19013013049,US SENATE,,,SC,0.000000
2004,19013013050,PRESIDENT,,,DEM,270.000000
2004,19013013050,PRESIDENT,,,OTH,2.000000
2004,19013013050,PRESIDENT,,,REP,231.000000
2004,19013013050,PRESIDENT,,,SC,0.000000
2004,19013013050,US SENATE,,,DEM,159.000000
2004,19013013050,US SENATE,,,OTH,9.000000
2004,19013013050,US SENATE,,,REP,327.000000
2004,19013013050,US SENATE,,,SC,0.000000
2004,19013013051,PRESIDENT,,,DEM,494.000000
2004,19013013051,PRESIDENT,,,OTH,6.000000
2004,19013013051,PRESIDENT,,,REP,408.000000
2004,19013013051,PRESIDENT,,,SC,3.000000
2004,19013013051,US SENATE,,,DEM,220.000000
2004,19013013051,US SENATE,,,OTH,14.000000
2004,19013013051,US SENATE,,,REP,660.000000
2004,19013013051,US SENATE,,,SC,1.000000
2004,19013013052,PRESIDENT,,,DEM,413.000000
2004,19013013052,PRESIDENT,,,OTH,4.000000
2004,19013013052,PRESIDENT,,,REP,325.000000
2004,19013013052,PRESIDENT,,,SC,1.000000
2004,19013013052,US SENATE,,,DEM,214.000000
2004,19013013052,US SENATE,,,OTH,14.000000
2004,19013013052,US SENATE,,,REP,508.000000
2004,19013013052,US SENATE,,,SC,1.000000
2004,19013013053,PRESIDENT,,,DEM,377.000000
2004,19013013053,PRESIDENT,,,OTH,2.000000
2004,19013013053,PRESIDENT,,,REP,393.000000
2004,19013013053,PRESIDENT,,,SC,1.000000
2004,19013013053,US SENATE,,,DEM,157.000000
2004,19013013053,US SENATE,,,OTH,11.000000
2004,19013013053,US SENATE,,,REP,593.000000
2004,19013013053,US SENATE,,,SC,0.000000
2004,19013013054,PRESIDENT,,,DEM,315.000000
2004,19013013054,PRESIDENT,,,OTH,4.000000
2004,19013013054,PRESIDENT,,,REP,608.000000
2004,19013013054,PRESIDENT,,,SC,1.000000
2004,19013013054,US SENATE,,,DEM,121.000000
2004,19013013054,US SENATE,,,OTH,7.000000
2004,19013013054,US SENATE,,,REP,788.000000
2004,19013013054,US SENATE,,,SC,0.000000
2004,19013013056,PRESIDENT,,,DEM,420.000000
2004,19013013056,PRESIDENT,,,OTH,4.000000
2004,19013013056,PRESIDENT,,,REP,220.000000
2004,19013013056,PRESIDENT,,,SC,0.000000
2004,19013013056,US SENATE,,,DEM,245.000000
2004,19013013056,US SENATE,,,OTH,11.000000
2004,19013013056,US SENATE,,,REP,385.000000
2004,19013013056,US SENATE,,,SC,0.000000
